constructorId,url,name,nationality,year
brabham-climax,http://en.wikipedia.org/wiki/Brabham,Brabham-Climax,British,1968
brabham-repco,http://en.wikipedia.org/wiki/Brabham,Brabham-Repco,British,1968
brm,http://en.wikipedia.org/wiki/BRM,BRM,British,1968
cooper-brm,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-BRM,British,1968
cooper-climax,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-Climax,British,1968
cooper-maserati,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-Maserati,British,1968
eagle-weslake,http://en.wikipedia.org/wiki/Anglo_American_Racers,Eagle-Weslake,American,1968
ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian,1968
honda,http://en.wikipedia.org/wiki/Honda_Racing_F1,Honda,Japanese,1968
lds,http://en.wikipedia.org/wiki/LDS_(automobile),LDS,South African,1968
lola,http://en.wikipedia.org/wiki/MasterCard_Lola,Lola,British,1968
lotus-ford,http://en.wikipedia.org/wiki/Team_Lotus,Lotus-Ford,British,1968
matra,http://en.wikipedia.org/wiki/Matra,Matra,French,1968
matra-ford,http://en.wikipedia.org/wiki/Matra,Matra-Ford,French,1968
mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British,1968
mclaren-brm,http://en.wikipedia.org/wiki/McLaren_(racing),McLaren-BRM,British,1968
mclaren-ford,http://en.wikipedia.org/wiki/Team_McLaren,McLaren-Ford,British,1968
brabham-climax,http://en.wikipedia.org/wiki/Brabham,Brabham-Climax,British,1969
brabham-ford,http://en.wikipedia.org/wiki/Brabham,Brabham-Ford,British,1969
brabham-repco,http://en.wikipedia.org/wiki/Brabham,Brabham-Repco,British,1969
brm,http://en.wikipedia.org/wiki/BRM,BRM,British,1969
brm-ford,http://en.wikipedia.org/wiki/BRM,BRM-Ford,British,1969
cooper-maserati,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-Maserati,British,1969
eagle-climax,http://en.wikipedia.org/wiki/Anglo_American_Racers,Eagle-Climax,American,1969
ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian,1969
lotus-ford,http://en.wikipedia.org/wiki/Team_Lotus,Lotus-Ford,British,1969
matra-ford,http://en.wikipedia.org/wiki/Matra,Matra-Ford,French,1969
mclaren-ford,http://en.wikipedia.org/wiki/Team_McLaren,McLaren-Ford,British,1969
bellasi,http://en.wikipedia.org/wiki/Bellasi,Bellasi,Swiss,1970
brabham,http://en.wikipedia.org/wiki/Brabham,Brabham,British,1970
brm,http://en.wikipedia.org/wiki/BRM,BRM,British,1970
tomaso,http://en.wikipedia.org/wiki/De_Tomaso,De Tomaso,Italian,1970
ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian,1970
march,http://en.wikipedia.org/wiki/March_Engineering,March,British,1970
matra,http://en.wikipedia.org/wiki/Matra,Matra,French,1970
mclaren-alfa_romeo,http://en.wikipedia.org/wiki/McLaren_(racing),McLaren-Alfa Romeo,British,1970
mclaren-ford,http://en.wikipedia.org/wiki/Team_McLaren,McLaren-Ford,British,1970
surtees,http://en.wikipedia.org/wiki/Surtees,Surtees,British,1970
team_lotus,http://en.wikipedia.org/wiki/Team_Lotus,Team Lotus,British,1970
